2016-08-21 22:22:51,770 [Worker-13] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: SilverBarsMarketplace:SilverBarsMarketplace:0.0.1-SNAPSHOT @ C:\Users\jasongorman\Documents\GitHub\SilverBars\SilverBarsMarketplace\pom.xml.
2016-08-21 22:31:11,531 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-21 22:31:11,537 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\jasongorman\Documents\GitHub\SilverBars\SilverBarsMarketplace\src\test\resources
2016-08-21 22:31:43,397 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-21 22:31:43,408 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\jasongorman\Documents\GitHub\SilverBars\SilverBarsMarketplace\src\main\resources
2016-08-21 22:31:43,413 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-21 22:31:43,422 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\jasongorman\Documents\GitHub\SilverBars\SilverBarsMarketplace\src\test\resources
2016-08-21 22:32:15,110 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-21 22:32:15,117 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\jasongorman\Documents\GitHub\SilverBars\SilverBarsMarketplace\src\main\resources
2016-08-21 22:32:15,120 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-21 22:32:15,127 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\jasongorman\Documents\GitHub\SilverBars\SilverBarsMarketplace\src\test\resources
2016-08-21 22:32:28,759 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-21 22:32:28,768 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\jasongorman\Documents\GitHub\SilverBars\SilverBarsMarketplace\src\main\resources
2016-08-21 22:32:28,773 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-21 22:32:28,781 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\jasongorman\Documents\GitHub\SilverBars\SilverBarsMarketplace\src\test\resources
2016-08-21 22:32:34,961 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-21 22:32:34,986 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\jasongorman\Documents\GitHub\SilverBars\SilverBarsMarketplace\src\main\resources
2016-08-21 22:32:34,994 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-21 22:32:35,007 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\jasongorman\Documents\GitHub\SilverBars\SilverBarsMarketplace\src\test\resources
2016-08-21 22:32:41,192 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-21 22:32:41,210 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\jasongorman\Documents\GitHub\SilverBars\SilverBarsMarketplace\src\main\resources
2016-08-21 22:32:41,216 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-21 22:32:41,228 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\jasongorman\Documents\GitHub\SilverBars\SilverBarsMarketplace\src\test\resources
